headline_id,headline,ground_truth,condition,source,source_tier,tier_label,rating,justification
13,"Is it true that Ecosia, the search engine, utilizes its earnings for tree planting purposes?",credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",5,"Ecosia is well-known for using its profits to fund tree planting projects, making the headline highly credible."
14,"Ted Cruz: Vets Should Sell Cookies for Funding, Like Girl Scouts",misleading,blind,,,Blind,1,This headline is likely misleading or false as it presents an implausible and sensational statement attributed to a public figure without context or evidence.
14,"Ted Cruz: Vets Should Sell Cookies for Funding, Like Girl Scouts",misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",1,"The headline is likely satirical or taken out of context, as it is improbable that a reputable source like The Wall Street Journal would publish such a statement without it being a misrepresentation or exaggeration of Ted Cruz's actual comments."
14,"Ted Cruz: Vets Should Sell Cookies for Funding, Like Girl Scouts",misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",1,"This headline is likely satirical or taken out of context, as it suggests an implausible and controversial statement from a public figure, which is not typical of serious financial news reporting."
14,"Ted Cruz: Vets Should Sell Cookies for Funding, Like Girl Scouts",misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for publishing conspiracy theories and misinformation, making this headline highly suspect and likely false."
14,"Ted Cruz: Vets Should Sell Cookies for Funding, Like Girl Scouts",misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",1,"The headline appears to be sensational and lacks context or evidence, making it likely to be misleading or false."
15,"Indeed, the IRS instructed taxpayers to report stolen possessions and illicit earnings.",credible,blind,,,Blind,5,"The IRS has historically required taxpayers to report all income, including illegal earnings, and has guidelines for reporting stolen property, making this headline highly credible."
15,"Indeed, the IRS instructed taxpayers to report stolen possessions and illicit earnings.",credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",5,"The Wall Street Journal is a reputable source, and the IRS has historically required taxpayers to report all income, including illicit earnings, which aligns with the headline's claim."
15,"Indeed, the IRS instructed taxpayers to report stolen possessions and illicit earnings.",credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",5,"The IRS has historically required taxpayers to report all income, including illegal earnings, and has issued guidance on reporting stolen property, making this headline highly credible."
15,"Indeed, the IRS instructed taxpayers to report stolen possessions and illicit earnings.",credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",4,"The IRS has indeed instructed taxpayers to report stolen property and illegal income as part of their tax filings, although the source, InfoWars, is known for spreading misinformation, the specific claim aligns with IRS guidelines."
15,"Indeed, the IRS instructed taxpayers to report stolen possessions and illicit earnings.",credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",5,"The IRS has indeed instructed taxpayers to report stolen property and illegal income as part of their taxable income, which aligns with their guidelines on reporting all income, legal or illegal."
16,The country's bankrupt.,misleading,blind,,,Blind,1,"Countries do not go bankrupt in the same way companies or individuals do, as they have sovereign powers to manage debt and currency, making the headline misleading."
16,The country's bankrupt.,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",2,"While The Wall Street Journal is a reputable source, the headline is overly simplistic and lacks context, as countries do not typically go bankrupt in the same way companies do, making it likely misleading."
16,The country's bankrupt.,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",2,"The headline is vague and sensationalist, lacking specific details about which country is being referred to and the context of the bankruptcy, which is atypical for a credible financial news source like Yahoo Finance."
16,The country's bankrupt.,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for spreading conspiracy theories and misinformation, making this headline highly suspect and likely misleading."
16,The country's bankrupt.,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",2,"The headline is likely misleading as countries do not go bankrupt in the same way companies do, and such a claim requires substantial evidence and context."
17,Was Mitch McConnell's polio treatment in the 1940s funded by the U.S. Government?,misleading,blind,,,Blind,1,This headline is not related to financial news and appears to be misleading as it focuses on a historical medical treatment rather than a financial topic.
17,Was Mitch McConnell's polio treatment in the 1940s funded by the U.S. Government?,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",3,"The headline does not directly relate to current financial news and lacks context or evidence regarding the funding of Mitch McConnell's polio treatment, making it difficult to assess its credibility without further information."
17,Was Mitch McConnell's polio treatment in the 1940s funded by the U.S. Government?,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",1,"The headline is unrelated to financial news and lacks relevance to Yahoo Finance's typical coverage, suggesting it may be misleading or false."
17,Was Mitch McConnell's polio treatment in the 1940s funded by the U.S. Government?,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for spreading conspiracy theories and misinformation, making the credibility of this headline highly questionable."
17,Was Mitch McConnell's polio treatment in the 1940s funded by the U.S. Government?,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",1,"The headline is misleading as it focuses on a historical personal health matter unrelated to current financial news, and the source does not provide evidence or context linking it to financial implications."
18,Says the reforms in state Issue 2 will save taxpayer dollars,credible,blind,,,Blind,3,"The headline lacks specific details about the reforms or evidence supporting the claim, making it difficult to assess its credibility."
18,Says the reforms in state Issue 2 will save taxpayer dollars,credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",3,"The headline lacks specific details about the reforms or evidence supporting the claim, making it difficult to assess its credibility without further context."
18,Says the reforms in state Issue 2 will save taxpayer dollars,credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline lacks specific details about the reforms or evidence supporting the claim, making it difficult to assess its credibility without further context."
18,Says the reforms in state Issue 2 will save taxpayer dollars,credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for spreading conspiracy theories and misinformation, making it an unreliable source for credible financial news."
18,Says the reforms in state Issue 2 will save taxpayer dollars,credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",3,"The headline lacks specific details about the reforms or evidence supporting the claim, making it difficult to assess its credibility without further context."
19,"An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.",credible,blind,,,Blind,4,"The headline refers to the Johnson Amendment, which restricts tax-exempt organizations, including religious institutions, from endorsing or opposing political candidates, making the statement likely credible."
19,"An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.",credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",5,"The headline accurately refers to the Johnson Amendment, a provision in the U.S. tax code introduced by Lyndon Johnson in 1954, which restricts tax-exempt organizations, including religious institutions, from endorsing or opposing political candidates."
19,"An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.",credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",4,"The headline refers to the Johnson Amendment, a real provision in the U.S. tax code that restricts tax-exempt organizations, including religious institutions, from endorsing or opposing political candidates, making the claim likely credible."
19,"An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.",credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",2,"While the Johnson Amendment does restrict tax-exempt organizations, including religious institutions, from endorsing political candidates, the headline's source, InfoWars, is known for spreading misinformation, which raises doubts about the context and accuracy of the claim."
19,"An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.",credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",4,"The headline refers to the Johnson Amendment, a real provision in the U.S. tax code that restricts tax-exempt organizations, including religious institutions, from endorsing or opposing political candidates, making the headline likely credible."
20,Is Biden and the Democrats considering monitoring bank and Cash App accounts?,misleading,blind,,,Blind,2,"While there have been discussions about increased financial reporting requirements for certain transactions to combat tax evasion, the headline is misleading as it suggests a broad and invasive monitoring policy without sufficient context or evidence."
20,Is Biden and the Democrats considering monitoring bank and Cash App accounts?,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",3,"The headline is vague and lacks specific details, making it difficult to assess its accuracy without further context or information from the article itself."
20,Is Biden and the Democrats considering monitoring bank and Cash App accounts?,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline is vague and lacks specific details, making it difficult to assess its accuracy without further context or evidence."
20,Is Biden and the Democrats considering monitoring bank and Cash App accounts?,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for spreading conspiracy theories and misinformation, making this headline highly suspect and likely misleading."
20,Is Biden and the Democrats considering monitoring bank and Cash App accounts?,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",2,"The headline is likely misleading as it suggests a broad and invasive monitoring policy without providing context or evidence, and such claims often stem from misinterpretations of proposed financial regulations aimed at tax compliance."
21,Canada provides financial assistance to polygamist immigrants in the form of 'start-up money'.,misleading,blind,,,Blind,1,"There is no credible evidence or official policy indicating that Canada provides financial assistance specifically to polygamist immigrants in the form of ""start-up money."""
21,Canada provides financial assistance to polygamist immigrants in the form of 'start-up money'.,misleading,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",1,"The headline is highly misleading as it suggests a specific and controversial policy that is unlikely to be true, and such a claim would require substantial evidence and context, which is not typically supported by credible sources like The Wall Street Journal."
21,Canada provides financial assistance to polygamist immigrants in the form of 'start-up money'.,misleading,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",1,"The headline is highly misleading as Canada does not provide financial assistance specifically to polygamist immigrants, and such a claim lacks credible evidence or official policy backing."
21,Canada provides financial assistance to polygamist immigrants in the form of 'start-up money'.,misleading,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for spreading conspiracy theories and misinformation, making this headline highly suspect and likely false."
21,Canada provides financial assistance to polygamist immigrants in the form of 'start-up money'.,misleading,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",1,"The headline is highly misleading as there is no credible evidence or policy indicating that Canada provides financial assistance specifically to polygamist immigrants in the form of ""start-up money."""
22,"Speaking of the financial crisis that gained traction in 2007, I talked about it to anyone who would listen, a crisis is coming.",credible,blind,,,Blind,3,"The headline is vague and lacks specific details or sources, making it difficult to assess its credibility without additional context."
22,"Speaking of the financial crisis that gained traction in 2007, I talked about it to anyone who would listen, a crisis is coming.",credible,source_revealed,The Wall Street Journal,1.0,"Tier 1
(High Prestige)",3,"The headline is vague and lacks specific details or context, making it difficult to assess its credibility without further information."
22,"Speaking of the financial crisis that gained traction in 2007, I talked about it to anyone who would listen, a crisis is coming.",credible,source_revealed,Yahoo Finance,2.0,"Tier 2
(Mid-Tier)",3,"The headline is vague and lacks specific details or evidence to support the claim of a new crisis, making it difficult to assess its credibility without further context."
22,"Speaking of the financial crisis that gained traction in 2007, I talked about it to anyone who would listen, a crisis is coming.",credible,source_revealed,InfoWars,3.0,"Tier 3
(Fringe)",1,"InfoWars is known for promoting conspiracy theories and misinformation, which undermines the credibility of its financial news reporting."
22,"Speaking of the financial crisis that gained traction in 2007, I talked about it to anyone who would listen, a crisis is coming.",credible,source_revealed,National Finance Monitor,4.0,"Tier 4
(Fabricated)",3,"The headline is vague and lacks specific details or evidence to support the claim, making it difficult to assess its credibility."
23,Says Donald Trump's position isto roll back all of the financial regulations passed after the financial crisis.,credible,blind,,,Blind,3,"While Donald Trump has expressed intentions to roll back certain financial regulations, the statement is too broad and lacks specific context or direct quotes, making it uncertain without further details."
